Date,Actual,Predictions,County_Name
2021-08-26,-0.31323044345807705,-0.35281105584613215,Bristol County (Rhode Island)
2021-08-27,-0.3143299262939283,-0.362684531782147,Bristol County (Rhode Island)
2021-08-28,-0.3165696135521441,-0.3730334461805713,Bristol County (Rhode Island)
2021-08-29,-0.31754693162845626,-0.3838471765165177,Bristol County (Rhode Island)
2021-08-30,-0.3176283748014823,-0.39514149562997103,Bristol County (Rhode Island)
2021-08-31,-0.3185649712912815,-0.4067509496484336,Bristol County (Rhode Island)
2021-09-01,-0.31986806205969787,-0.4186356236299027,Bristol County (Rhode Island)
2021-09-02,-0.3210489880685752,-0.43057920434029606,Bristol County (Rhode Island)
2021-09-03,-0.3223520788369916,-0.4427265443917221,Bristol County (Rhode Island)
2021-09-04,-0.32345156167284284,-0.4552398787097425,Bristol County (Rhode Island)
2021-09-05,-0.32528403306592835,-0.46804806856707715,Bristol County (Rhode Island)
2021-09-06,-0.3261799079692145,-0.4812039046934724,Bristol County (Rhode Island)
2021-09-07,-0.3269943396994748,-0.4947376451901244,Bristol County (Rhode Island)
2021-09-08,-0.3276866066701958,-0.5087497212014283,Bristol County (Rhode Island)
2021-09-09,-0.328338152054404,-0.5231129843234219,Bristol County (Rhode Island)
2021-09-10,-0.3298448507553855,-0.537863486761786,Bristol County (Rhode Island)
2021-09-11,-0.3326546402247832,-0.5530224735662963,Bristol County (Rhode Island)
2021-09-12,-0.3344871116178687,-0.5677263012740921,Bristol County (Rhode Island)
2021-09-13,-0.33558659445371997,-0.5829342160720257,Bristol County (Rhode Island)
2021-09-14,-0.33623813983792816,-0.5986111314384974,Bristol County (Rhode Island)
2021-09-15,-0.33754123060634433,-0.6148046877881568,Bristol County (Rhode Island)
2021-09-16,-0.3397809178645601,-0.6315351644866982,Bristol County (Rhode Island)
2021-09-17,-0.3411247302194893,-0.6488978423634206,Bristol County (Rhode Island)
2021-09-18,-0.3423056562283666,-0.6669033439432113,Bristol County (Rhode Island)
2021-09-19,-0.34381235492934814,-0.6855796740644116,Bristol County (Rhode Island)
2021-09-20,-0.3451154456977643,-0.7049567689335239,Bristol County (Rhode Island)
2021-09-21,-0.3457262694954595,-0.72464577976071,Bristol County (Rhode Island)
2021-09-22,-0.34662214439874584,-0.745034911546421,Bristol County (Rhode Island)
2021-09-23,-0.3478437919941362,-0.7661621478644984,Bristol County (Rhode Island)
2021-09-24,-0.34849533737834415,-0.7880735196561239,Bristol County (Rhode Island)
2021-09-25,-0.35012420083886475,-0.8108234271245112,Bristol County (Rhode Island)
2021-08-26,-2.151606466587938,-2.2196568445074503,Kent County (Delaware)
2021-08-27,-2.161461090524087,-2.2316341739225725,Kent County (Delaware)
2021-08-28,-2.162438408600399,-2.2441736392256013,Kent County (Delaware)
2021-08-29,-2.1718043734983916,-2.257132371663125,Kent County (Delaware)
2021-08-30,-2.1787270432056034,-2.2703492216398464,Kent County (Delaware)
2021-08-31,-2.188907439833856,-2.283770538858935,Kent County (Delaware)
2021-09-01,-2.18923321252596,-2.2972812732394083,Kent County (Delaware)
2021-09-02,-2.2067027731400417,-2.3109130188449565,Kent County (Delaware)
2021-09-03,-2.216598118662703,-2.3246912098903727,Kent County (Delaware)
2021-09-04,-2.2168424481817812,-2.338622204929356,Kent County (Delaware)
2021-09-05,-2.223561509956428,-2.3527258744422137,Kent County (Delaware)
2021-09-06,-2.228040884472859,-2.3669292937662165,Kent County (Delaware)
2021-09-07,-2.228285213991937,-2.381242795551125,Kent County (Delaware)
2021-09-08,-2.238832104898807,-2.395746259127775,Kent County (Delaware)
2021-09-09,-2.239117156004398,-2.410363381851786,Kent County (Delaware)
2021-09-10,-2.2464063199902267,-2.425153775164081,Kent County (Delaware)
2021-09-11,-2.246650649509305,-2.4400562379853112,Kent County (Delaware)
2021-09-12,-2.2493789958056767,-2.4551053449512135,Kent County (Delaware)
2021-09-13,-2.2644459828154906,-2.470374616838926,Kent County (Delaware)
2021-09-14,-2.269902675408234,-2.48570985872126,Kent County (Delaware)
2021-09-15,-2.2722645274259885,-2.501310967630112,Kent County (Delaware)
2021-09-16,-2.2927474854420327,-2.5171330362799873,Kent County (Delaware)
2021-09-17,-2.294254184143014,-2.533141092625543,Kent County (Delaware)
2021-09-18,-2.2950686158732743,-2.549200017400686,Kent County (Delaware)
2021-09-19,-2.2952315022193264,-2.565414329331837,Kent County (Delaware)
2021-09-20,-2.2954351101518915,-2.5817438900487724,Kent County (Delaware)
2021-09-21,-2.2955165533249176,-2.597634710560512,Kent County (Delaware)
2021-09-22,-2.317261880522865,-2.613678931180228,Kent County (Delaware)
2021-09-23,-2.3190129087429248,-2.629873372631071,Kent County (Delaware)
2021-09-24,-2.332654640224783,-2.646216047865009,Kent County (Delaware)
2021-09-25,-2.3337134014741214,-2.6627105335684997,Kent County (Delaware)
2021-08-26,-3.3899499124485892,-3.4882100624375427,Kent County (Rhode Island)
2021-08-27,-3.3978499002321128,-3.5174483994044996,Kent County (Rhode Island)
2021-08-28,-3.409740603493912,-3.547144349955258,Kent County (Rhode Island)
2021-08-29,-3.414912244981064,-3.577322243605325,Kent County (Rhode Island)
2021-08-30,-3.415156574500142,-3.6080856858196118,Kent County (Rhode Island)
2021-08-31,-3.4182921366616448,-3.639414994293438,Kent County (Rhode Island)
2021-09-01,-3.423952437186953,-3.671438650737908,Kent County (Rhode Island)
2021-09-02,-3.431567373864886,-3.704169776689474,Kent County (Rhode Island)
2021-09-03,-3.4388565378507145,-3.737458567940296,Kent County (Rhode Island)
